Tran2,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: Expository
88 Samples Matched By Age
Context: Exposition
SD Interval: 1.0,,,
STANDARD MEASURES REPORT
Compared to 88 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-29.66,,11.48,11.00,12.00,0.29
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.16,,55.56,13,180,25.73
        C&I Verbal Utts,0 **,-2.18,,53.77,13,170,24.68
        All Words Including Mazes,0 **,-2.03,,700.43,172,2422,345.66
        Elapsed Time,---,,,5.37,1.30,15.32,2.13
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-66.78,,99.15,93.55,100.00,1.48
        % Intelligible Words,0.0% **,-717.45,,99.92,99.44,100.00,0.14
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-6.35,,11.65,7.67,16.24,1.84
        MLU in Morphemes,0.00 **,-6.45,,12.75,8.54,17.62,1.98
        % Utterances with Verbs,0.0% **,-30.29,,96.93,86.11,100.00,3.20
        Mean Verbs per Utterance,0.00 **,-6.04,,2.30,1.61,3.35,0.38
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.09,,620.41,169,2108,296.38
        Number Different Words (NDW),0 **,-3.56,,174.97,74,344,49.21
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.04,,26.33,2.60,118.00,25.24
        Mean Turn Length (words),0.00 *,-1.03,,303.16,27.13,1432.00,295.45
        % Responses to Questions,---,,,87.69,0.00,150.00,29.52
        % Responses to Intonation Prompts,---,,,100.00,100.00,100.00,0.00
        % Utts with Overlapping Speech,0.0%,-0.49,,0.81,0.00,7.89,1.67
        % Utts Interrupted Other Speaker,0.0%,-0.15,,0.04,0.00,2.27,0.30
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,128.85,58.83,199.89,25.20
        Pause Time as % of Total Time,---,,,7.84,0.00,42.07,8.69
        Maze Words as % of Total Words,0.0% **,-2.30,,10.37,1.04,23.89,4.51
        % Abandoned Utterances,0.0%,-0.79,,1.43,0.00,6.38,1.81
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.72,,10.11,0.00,27.50,5.87
        Number of Omissions,0,-0.96,,1.91,0,8,1.99
        Number of Error Codes,0 *,-1.47,,4.18,0,14,2.84
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Calculations based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
Database selection criteria: Age 11;0 - 12;0,,,,,,,
