Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: ,,,,,,,
Current Age: ,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: Bilingual English Story Retell,,,,,,,
142 database samples,,,,,,,
Context: Narration (FGTD),,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 142 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (),---,,,6.57,6.5,6.75,0.07
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.81,,37.68,14,98,13.42
        C&I Verbal Utts,0 **,-2.42,,30.11,3,90,12.43
        All Words Including Mazes,0 **,-2.31,,278.65,29,805,120.61
        Elapsed Time,---,,,4.17,1.63,8.35,1.37
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-7.52,,88.57,42.86,100,11.77
        % Intelligible Words,0.0% **,-34.67,,97.66,87.5,100,2.82
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-4.61,,6.51,1.39,10.47,1.41
        MLU in Morphemes,0.00 **,-4.65,,6.86,1.39,10.83,1.47
        % Utterances with Verbs,0.0% **,-7.42,,89.38,5.56,100,12.05
        Mean Verbs per Utterance,0.00 **,-4.43,,1.22,0.06,1.92,0.27
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.02,,202.3,13,648,100.32
        Number Different Words (NDW),0 **,-2.65,,68.97,11,159,26.03
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1,,12.84,1.04,50,12.88
        Mean Turn Length (words),0,-0.95,,83.88,0.8,363,88.51
        % Responses to Questions,---,,,72.61,0,100,33.56
        % Responses to Intonation Prompts,---,,,87.41,50,100,18.48
        % Utts with Overlapping Speech,0.00%,-0.57,,1.99,0,18.75,3.49
        % Utts Interrupted Other Speaker,0.00%,-0.08,,0.02,0,3.23,0.27
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,69.34,9.83,142.86,26.1
        Pause Time as % of Total Time,---,,,21.21,1.53,78.47,15.87
        Maze Words as % of Total Words,0.0% *,-1.79,,15.18,0,64.91,8.5
        % Abandoned Utterances,0.00%,-0.83,,6.34,0,37.5,7.63
ERRORS,,,,,,,
        % Utterances with Errors,0.0% **,-2.89,,50.96,3.13,83.33,17.63
        % Word Errors,0.0% **,-2.51,,9.3,2.49,18.18,3.71
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
Database selection criteria: Age 6;6 - 7;0,,,,,,,
