Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: ,,,,,,,
Current Age: ,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: Bilingual English Story Retell,,,,,,,
509 database samples,,,,,,,
Context: Narration (FGTD),,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 509 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (),---,,,8.25,8,8.5,0.17
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-4.04,,40.34,21,140,9.98
        C&I Verbal Utts,0 **,-3.79,,38.59,14,129,10.17
        All Words Including Mazes,0 **,-3.66,,367.63,150,1068,100.4
        Elapsed Time,---,,,4.06,1.68,10.03,1.28
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-19.67,,97.44,62.16,100,4.96
        % Intelligible Words,0.0% **,-127.24,,99.64,93.06,100,0.78
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-7.08,,8.02,4.89,12.42,1.13
        MLU in Morphemes,0.00 **,-6.97,,8.54,5.08,13.69,1.23
        % Utterances with Verbs,0.0% **,-21.98,,95.52,66.67,100,4.35
        Mean Verbs per Utterance,0.00 **,-6.5,,1.45,0.78,2.26,0.22
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-3.53,,308.94,88,898,87.51
        Number Different Words (NDW),0 **,-4.59,,101.12,34,198,22.05
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.94,,31.16,1.04,78,16.07
        Mean Turn Length (words),0.00 *,-1.87,,249.41,6.93,689,133.16
        % Responses to Questions,---,,,71.12,0,100,38.79
        % Responses to Intonation Prompts,---,,,90.35,0,100,25.65
        % Utts with Overlapping Speech,0.00%,-0.24,,0.3,0,10.81,1.24
        % Utts Interrupted Other Speaker,0.00%,0,,0,0,0,0
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,94.31,33.74,166.93,21.77
        Pause Time as % of Total Time~,---,,,4.97,0,44.19,6.9
        Maze Words as % of Total Words,0.0% **,-2.12,,14.07,1,43.1,6.64
        % Abandoned Utterances,0.00%,-0.58,,1.79,0,20,3.05
ERRORS,,,,,,,
        % Utterances with Errors,0.0% **,-2.16,,40.58,4.76,90,18.75
        % Word Errors,0.0% **,-2.02,,5.99,0.53,14.67,2.96
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
~ Value Missing For Some Database Records,,,,,,,
Database selection criteria: Age 8;0 - 8;6,,,,,,,
