Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: ,,,,,,,
Current Age: ,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: Bilingual English Story Retell,,,,,,,
195 database samples,,,,,,,
Context: Narration (FWAY),,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 195 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (),---,,,6.2,6,6.5,0.18
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.37,,36.87,4,81,10.95
        C&I Verbal Utts,0 **,-2.75,,30.84,1,72,11.21
        All Words Including Mazes,0 **,-2.66,,259.92,24,605,97.58
        Elapsed Time,---,,,3.99,0.88,10.02,1.61
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-8.04,,90.67,22.58,100,11.28
        % Intelligible Words,0.0% **,-39.12,,98.12,83.13,100,2.51
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-6.16,,6.09,2.77,9,0.99
        MLU in Morphemes,0.00 **,-6.12,,6.47,2.83,9.51,1.06
        % Utterances with Verbs,0.0% **,-8.25,,86.52,33.33,100,10.48
        Mean Verbs per Utterance,0.00 **,-5.51,,1.06,0.33,1.61,0.19
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.32,,191.16,9,479,82.28
        Number Different Words (NDW),0 **,-2.81,,64.41,9,128,22.94
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.12,,14.14,1.13,56,12.59
        Mean Turn Length (words),0.00 *,-1.07,,83.78,2.18,363,78.13
        % Responses to Questions,---,,,77.95,0,100,31.48
        % Responses to Intonation Prompts,---,,,83.88,0,100,29.47
        % Utts with Overlapping Speech,0.00%,-0.49,,1.71,0,23.81,3.51
        % Utts Interrupted Other Speaker,0.00%,-0.12,,0.05,0,3.57,0.39
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,69.21,14.87,165.79,24.77
        Pause Time as % of Total Time,---,,,20.64,0,68.11,15.3
        Maze Words as % of Total Words,0.0% *,-1.93,,16.37,0,54.51,8.46
        % Abandoned Utterances,0.00%,-0.86,,6.2,0,50,7.25
ERRORS,,,,,,,
        % Utterances with Errors,0.0% **,-2.8,,45.33,0,84.85,16.2
        % Word Errors,0.0% **,-2.27,,8.66,0,19.5,3.82
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
Database selection criteria: Age 6;0 - 6;6,,,,,,,
