Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: ,,,,,,,
Current Age: ,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: Bilingual English Story Retell,,,,,,,
488 database samples,,,,,,,
Context: Narration (FWAY),,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 488 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (),---,,,7.74,7.5,8,0.17
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-4.17,,40.61,13,82,9.73
        C&I Verbal Utts,0 **,-3.46,,36.88,6,81,10.65
        All Words Including Mazes,0 **,-3.47,,312.07,58,687,90.03
        Elapsed Time,---,,,4.06,1.12,14.57,1.51
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-12.11,,95.07,54.55,100,7.85
        % Intelligible Words,0.0% **,-61.57,,99.13,87.65,100,1.61
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-7.92,,6.74,3.45,9.23,0.85
        MLU in Morphemes,0.00 **,-7.71,,7.16,3.55,9.9,0.93
        % Utterances with Verbs,0.0% **,-11.15,,90.71,45.45,100,8.14
        Mean Verbs per Utterance,0.00 **,-6.84,,1.14,0.45,1.62,0.17
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-3.06,,250.66,35,555,81.95
        Number Different Words (NDW),0 **,-3.51,,79.37,11,155,22.61
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.47,,24.78,1.1,82,16.84
        Mean Turn Length (words),0.00 *,-1.41,,165.94,5.57,560,117.8
        % Responses to Questions,---,,,74.53,0,100,33.61
        % Responses to Intonation Prompts,---,,,80.3,0,100,34.74
        % Utts with Overlapping Speech,0.00%,-0.36,,0.86,0,17.65,2.38
        % Utts Interrupted Other Speaker,0.00%,-0.06,,0.02,0,7.14,0.38
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,82.27,14.72,174.72,25.18
        Pause Time as % of Total Time,---,,,14.42,0,74.36,12.67
        Maze Words as % of Total Words,0.0% **,-2.21,,14.65,0.68,42.47,6.64
        % Abandoned Utterances,0.00%,-0.67,,3.86,0,38.46,5.79
ERRORS,,,,,,,
        % Utterances with Errors,0.0% **,-2.56,,44.81,3.7,87.18,17.51
        % Word Errors,0.0% **,-2.31,,7.78,0.55,18.5,3.37
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
Database selection criteria: Age 7;6 - 8;0,,,,,,,
