Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: 7/19/2001,,,,,,,
Current Age: 3;0,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: Bilingual English Unique Story,,,,,,,
64 database samples,,,,,,,
Context: Narration (OFTM),,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 64 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-30.43,,7.76,7.5,8,0.16
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.47,,40.38,13,88,16.37
        C&I Verbal Utts,0 **,-2.44,,38.67,6,81,15.82
        All Words Including Mazes,0 **,-2.52,,305.81,65,585,121.28
        Elapsed Time,---,,,3.41,1.75,7.28,1.28
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-21.7,,97.41,80,100,4.49
        % Intelligible Words,0.0% **,-124.29,,99.58,95.76,100,0.8
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-7.56,,6.89,4.4,9.1,0.91
        MLU in Morphemes,0.00 **,-7.58,,7.27,4.6,9.57,0.96
        % Utterances with Verbs,0.0% **,-12.89,,92.45,66.67,100,7.17
        Mean Verbs per Utterance,0.00 **,-7.1,,1.12,0.67,1.57,0.16
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.45,,264.78,38,533,108.2
        Number Different Words (NDW),0 **,-3.4,,73.3,16,129,21.57
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.71,,30.84,2,73,18.08
        Mean Turn Length (words),0.00 *,-1.65,,212.87,13.75,531,129.03
        % Responses to Questions,---,,,83.33,0,100,40.82
        % Responses to Intonation Prompts,---,,,100,100,100,0
        % Utts with Overlapping Speech,0.00%,-0.35,,0.51,0,8,1.47
        % Utts Interrupted Other Speaker,0.00%,-0.13,,0.05,0,3.13,0.39
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,91.34,25.83,138.05,22.99
        Pause Time as % of Total Time,---,,,9.11,0,66.89,12.11
        Maze Words as % of Total Words,0.0% *,-1.98,,11.43,1.64,27.38,5.77
        % Abandoned Utterances,0.00%,-0.3,,2.15,0,53.85,7.05
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.96,,36.87,3.45,83.33,18.78
        % Word Errors,0.0% *,-1.84,,6.15,0.49,14.77,3.34
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
Database selection criteria: Age 7;6 - 8;0,,,,,,,
