Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: ,,,,,,,
Current Age: ,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: Bilingual Spanish Story Retell,,,,,,,
456 database samples,,,,,,,
Context: Narration (FOHO),,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 456 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (),---,,,6.29,6,6.5,0.15
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.16,,38.38,12,114,12.15
        C&I Verbal Utts,0 **,-3.01,,36.32,4,107,12.06
        All Words Including Mazes,0 **,-2.44,,260.07,42,699,106.7
        Elapsed Time,---,,,4.18,1.7,15.17,1.6
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-18.33,,97.67,42.86,100,5.33
        % Intelligible Words,0.0% **,-93.18,,99.57,87.8,100,1.07
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-6.52,,6.14,3.33,10,0.94
        MLU in Morphemes,0.00 **,-6.48,,6.19,3.33,10.04,0.96
        % Utterances with Verbs,0.0% **,-2.85,,59.71,14.29,100,20.92
        Mean Verbs per Utterance,0.00 **,-2.41,,0.75,0.18,1.89,0.31
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.51,,226.43,22,640,90.33
        Number Different Words (NDW),0 **,-3.59,,75.46,13,159,21.01
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.93,,31.64,1.48,114,16.38
        Mean Turn Length (words),0.00 *,-1.74,,196.54,6.33,659,112.85
        % Responses to Questions,---,,,90.21,40,100,19.44
        % Responses to Intonation Prompts,---,,,0,0,0,0
        % Utts with Overlapping Speech,0.00%,-0.19,,0.18,0,9.09,0.95
        % Utts Interrupted Other Speaker,0.00%,0,,0,0,0,0
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,64.22,10.74,116.91,19.8
        Pause Time as % of Total Time~,---,,,14.41,0,80.9,14.35
        Maze Words as % of Total Words,0.0% *,-1.06,,8.23,0,41.81,7.75
        % Abandoned Utterances,0.00%,-0.64,,2.94,0,33.33,4.61
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.05,,11.99,0,73.33,11.45
        % Word Errors,0.00%,-0.96,,2.24,0,16.28,2.34
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Pause data based on a subset of 114 database samples,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
~ Value Missing For Some Database Records,,,,,,,
Database selection criteria: Age 6;0 - 6;6,,,,,,,
