Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: 7/19/2001,,,,,,,
Current Age: 3;0,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: Bilingual Spanish Story Retell,,,,,,,
480 database samples,,,,,,,
Context: Narration (FWAY),,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 480 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-27.89,,7.74,7.5,8,0.17
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-4.01,,38.68,4,73,9.65
        C&I Verbal Utts,0 **,-3.82,,37.42,4,71,9.8
        All Words Including Mazes,0 **,-2.98,,268.02,28,599,89.88
        Elapsed Time,---,,,3.87,0.48,11.52,1.34
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-27.26,,98.84,62.5,100,3.63
        % Intelligible Words,0.0% **,-139.25,,99.79,91.57,100,0.72
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-6.8,,6.43,3.25,10.07,0.95
        MLU in Morphemes,0.00 **,-6.78,,6.61,3.38,10.24,0.98
        % Utterances with Verbs,0.0% **,-3.48,,63.48,6.25,100,18.24
        Mean Verbs per Utterance,0.00 **,-2.76,,0.82,0.06,1.83,0.3
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-3.22,,241.98,26,500,75.2
        Number Different Words (NDW),0 **,-4.22,,81.85,14,138,19.39
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-2.87,,35.24,1.82,73,12.27
        Mean Turn Length (words),0.00 **,-2.6,,225.19,12.25,508,86.62
        % Responses to Questions,---,,,89.51,0,100,25.75
        % Responses to Intonation Prompts,---,,,100,100,100,0
        % Utts with Overlapping Speech,0.00%,-0.12,,0.1,0,13.95,0.84
        % Utts Interrupted Other Speaker,0.00%,0,,0,0,0,0
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,72.95,6.29,141.21,23.24
        Pause Time as % of Total Time~,---,,,11.59,0,59.63,12.77
        Maze Words as % of Total Words,0.00%,-0.9,,6.58,0,36.47,7.35
        % Abandoned Utterances,0.00%,-0.5,,2.08,0,39.13,4.13
ERRORS,,,,,,,
        % Utterances with Errors,0.00%,-0.92,,9.69,0,60.42,10.51
        % Word Errors,0.00%,-0.8,,1.74,0,17.05,2.18
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Pause data based on a subset of 114 database samples,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
~ Value Missing For Some Database Records,,,,,,,
Database selection criteria: Age 7;6 - 8;0,,,,,,,
