Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: 7/19/2001,,,,,,,
Current Age: 3;0,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: Bilingual Spanish Story Retell,,,,,,,
136 database samples,,,,,,,
Context: Narration (FWAY),,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 136 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-33.12,,9.25,9,9.67,0.19
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-4.04,,43.4,12,75,10.75
        C&I Verbal Utts,0 **,-3.76,,42.15,4,73,11.2
        All Words Including Mazes,0 **,-3.27,,353.1,71,686,108.15
        Elapsed Time,---,,,3.85,1.35,8.07,1.15
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-43.64,,99.01,85.71,100,2.27
        % Intelligible Words,0.0% **,-241.24,,99.84,96.55,100,0.41
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-7.89,,7.17,4.9,10.98,0.91
        MLU in Morphemes,0.00 **,-7.77,,7.38,5.1,11.44,0.95
        % Utterances with Verbs,0.0% **,-3.38,,65.9,20,100,19.5
        Mean Verbs per Utterance,0.00 **,-2.69,,0.9,0.2,1.72,0.34
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-3.33,,303.64,21,558,91.09
        Number Different Words (NDW),0 **,-4.61,,96.23,19,165,20.86
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-2.34,,36,1.75,71,15.36
        Mean Turn Length (words),0.00 **,-2.2,,257.21,7.25,558,116.86
        % Responses to Questions,---,,,91.15,0,100,22.3
        % Responses to Intonation Prompts,---,,,50,0,100,70.71
        % Utts with Overlapping Speech,0.00%,-0.13,,0.08,0,6.12,0.58
        % Utts Interrupted Other Speaker,0.00%,0,,0,0,0,0
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,93.96,26.46,161.2,22.53
        Pause Time as % of Total Time~,---,,,7.33,0,46.53,7.39
        Maze Words as % of Total Words,0.0% **,-2.14,,12.95,0,27.51,6.05
        % Abandoned Utterances,0.00%,-0.38,,2.15,0,57.14,5.7
ERRORS,,,,,,,
        % Utterances with Errors,0.00%,-0.91,,7.42,0,57.69,8.18
        % Word Errors,0.00%,-0.69,,1.24,0,16.67,1.8
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Pause data based on a subset of 127 database samples,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
~ Value Missing For Some Database Records,,,,,,,
Database selection criteria: Age 9;0 - 9;8,,,,,,,
