Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: 7/19/2001,,,,,,,
Current Age: 3;0,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: Bilingual Spanish Unique Story,,,,,,,
49 database samples,,,,,,,
Context: Narration (OFTM),,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 49 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-32.9,,8.64,8.5,9,0.17
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.09,,41.16,23,95,13.34
        C&I Verbal Utts,0 **,-3.09,,40.14,23,91,12.98
        All Words Including Mazes,0 **,-2.68,,302.06,139,715,112.57
        Elapsed Time,---,,,3.32,1.38,8.23,1.26
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-52.17,,99.59,87.1,100,1.91
        % Intelligible Words,0.0% **,-310.61,,99.93,97.8,100,0.32
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-8.37,,6.84,5.21,9,0.82
        MLU in Morphemes,0.00 **,-8.51,,6.95,5.29,9.19,0.82
        % Utterances with Verbs,0.0% **,-3.9,,66.45,40.74,100,17.02
        Mean Verbs per Utterance,0.00 **,-3.3,,0.88,0.51,1.6,0.27
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.79,,276.53,136,620,99.2
        Number Different Words (NDW),0 **,-4.47,,83.45,51,146,18.68
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-3.01,,40.66,23,95,13.5
        Mean Turn Length (words),0.00 **,-2.69,,277.39,136,654,103.11
        % Responses to Questions,---,,,,,,
        % Responses to Intonation Prompts,---,,,,,,
        % Utts with Overlapping Speech,0.00%,0,,0,0,0,0
        % Utts Interrupted Other Speaker,0.00%,0,,0,0,0,0
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,93.85,43.75,144.17,22.24
        Pause Time as % of Total Time~,---,,,0.57,0,4.55,1.2
        Maze Words as % of Total Words,0.0% *,-1.36,,7.26,0,26.5,5.33
        % Abandoned Utterances,0.00%,-0.74,,1.81,0,10,2.45
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.16,,10.56,0,33.33,9.07
        % Word Errors,0.0% *,-1.03,,1.66,0,5.92,1.61
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Pause data based on a subset of 31 database samples,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
~ Value Missing For Some Database Records,,,,,,,
Database selection criteria: Age 8;6 - 9;0,,,,,,,
