Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: 7/19/2001,,,,,,,
Current Age: 3;0,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: NZ-AU Story Retell,,,,,,,
22 database samples,,,,,,,
Context: Narration (Bus),,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 22 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-31.49,,7.07,6.75,7.25,0.13
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-6.09,,17.91,13,22,2.94
        C&I Verbal Utts,0 **,-5.55,,17.32,10,22,3.12
        All Words Including Mazes,0 **,-6.68,,158.59,116,209,23.76
        Elapsed Time,---,,,1.95,1.3,4.38,0.83
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-26.19,,98.87,84.62,100,3.77
        % Intelligible Words,0.0% **,-206.58,,99.85,98.1,100,0.48
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-8.49,,8.22,6.29,10,0.97
        MLU in Morphemes,0.00 **,-8.8,,8.8,6.86,10.61,1
        % Utterances with Verbs,0.0% **,-27.14,,97.07,88.89,100,3.58
        Mean Verbs per Utterance,0.00 **,-6.23,,1.62,1.11,2.06,0.26
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-6.02,,141.05,74,180,23.42
        Number Different Words (NDW),0 **,-7.46,,73.09,49,87,9.8
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.38,,9.97,1.63,22,7.25
        Mean Turn Length (words),0.00 *,-1.38,,81.8,11.17,180,59.42
        % Responses to Questions,---,,,62.86,0,100,34.98
        % Responses to Intonation Prompts,---,,,100,100,100,0
        % Utts with Overlapping Speech,0.00%,-0.21,,0.25,0,5.56,1.18
        % Utts Interrupted Other Speaker,0.00%,0,,0,0,0,0
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,91.25,31.03,140.74,29.04
        Pause Time as % of Total Time,---,,,7.31,0,50.57,14.62
        Maze Words as % of Total Words,0.0% **,-2.2,,10.13,0.73,18.47,4.6
        % Abandoned Utterances,0.00%,-0.45,,2.01,0,18.18,4.46
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.88,,15.96,5.56,38.1,8.49
        % Word Errors,0.0% *,-1.23,,1.81,0,5.23,1.47
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
Database selection criteria: Age 6;9 - 7;3,,,,,,,
