Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: ,,,,,,,
Current Age: 3;0,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: Fables,,,,,,,
30 database samples,,,,,,,
Context: Fable (Dog),,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 30 Samples,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-33.27,,14.07,13.42,14.75,0.33
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2,,20.63,10,54,10.33
        C&I Verbal Utts,0 **,-2.07,,20.1,10,51,9.73
        All Words Including Mazes,0 **,-2,,245.47,53,687,122.62
        Elapsed Time-,---,,,,,,
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-291.6,,99.94,98.11,100,0.34
        % Intelligible Words,0.0% **,-3046.13,,99.99,99.82,100,0.03
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-4.52,,10.91,5.2,17.47,2.42
        MLU in Morphemes,0.00 **,-4.49,,11.74,5.4,19.4,2.62
        % Utterances with Verbs,0.0% **,-7.86,,86.58,60,100,11.01
        Mean Verbs per Utterance,0.00 **,-4.3,,2.17,1,2.93,0.5
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.09,,217.47,52,550,104.15
        Number Different Words (NDW),0 **,-3,,99,41,189,32.99
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.99,,3.96,1.67,10.8,1.99
        Mean Turn Length (words),0.00 *,-1.98,,42.38,8.67,112,21.37
        % Responses to Questions,---,,,100,100,100,0
        % Responses to Intonation Prompts,---,,,,,,
        % Utts with Overlapping Speech,0.00%,0,,0,0,0,0
        % Utts Interrupted Other Speaker,0.00%,0,,0,0,0,0
VERBAL FACILITY,,,,,,,
        Words per Minute-,---,,,,,,
        Pause Time as % of Total Time-,---,,,,,,
        Maze Words as % of Total Words,0.0% *,-1.72,,10.73,1.89,24.6,6.23
        % Abandoned Utterances,0.00%,-0.32,,0.82,0,11.76,2.54
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.05,,11.78,0,33.33,11.19
        % Word Errors,0.0% *,-1.03,,1.15,0,4.35,1.12
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
#NAME?,,,,,,,
Database selection criteria: none,,,,,,,
