Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: 7/19/2001,,,,,,,
Current Age: 3;0,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: Monolingual Spanish Story Retell,,,,,,,
37 database samples,,,,,,,
Context: Narration (FOHO),,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 37 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-27.3,,7.25,7,7.5,0.16
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-4.23,,48.41,32,85,11.45
        C&I Verbal Utts,0 **,-4.12,,45.57,28,82,11.06
        All Words Including Mazes,0 **,-3.98,,336.73,206,599,84.6
        Elapsed Time,---,,,3.81,2.32,6.87,0.92
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-35.9,,98.96,87.88,100,2.76
        % Intelligible Words,0.0% **,-215.58,,99.82,97.97,100,0.46
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-10.49,,6.65,5.38,8.07,0.63
        MLU in Morphemes,0.00 **,-10.34,,6.73,5.38,8.25,0.65
        % Utterances with Verbs,0.0% **,-5.48,,53.23,32.56,78.05,9.72
        Mean Verbs per Utterance,0.00 **,-3.95,,0.71,0.39,1.24,0.18
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-4.11,,302.05,185,533,73.53
        Number Different Words (NDW),0 **,-5.56,,102.05,73,165,18.36
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.74,,31.38,3.42,72,18.02
        Mean Turn Length (words),0.00 *,-1.71,,202.32,22.17,455,118.57
        % Responses to Questions,---,,,,,,
        % Responses to Intonation Prompts,---,,,,,,
        % Utts with Overlapping Speech,0.00%,0,,0,0,0,0
        % Utts Interrupted Other Speaker,0.00%,0,,0,0,0,0
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,89.67,55.3,121.5,15.56
        Pause Time as % of Total Time~,---,,,5.11,0.73,19.78,7.28
        Maze Words as % of Total Words,0.0% *,-1.86,,7.35,1.45,16.59,3.95
        % Abandoned Utterances,0.0% *,-1.06,,3.62,0,14.75,3.43
ERRORS,,,,,,,
        % Utterances with Errors,0.0% **,-3.07,,20.41,8.77,34.78,6.65
        % Word Errors,0.0% **,-2.6,,3.52,1.42,6.37,1.35
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Pause data based on a subset of 6 database samples,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
~ Value Missing For Some Database Records,,,,,,,
Database selection criteria: Age 7;0 - 7;6,,,,,,,
