Tran2,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: Narrative Story Retell
5 Samples Matched By Age
Context: Narration (FWAY)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT
Compared to 5 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-2.66,,3.93,3.50,4.33,0.35
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.45,,48.20,27,73,19.69
        C&I Verbal Utts,0 **,-2.31,,37.80,23,62,16.39
        All Words Including Mazes,0 *,-1.91,,283.40,140,463,148.46
        Elapsed Time,---,,,5.22,2.78,6.77,1.65
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-13.58,,92.16,84.21,100.00,6.79
        % Intelligible Words,0.0% **,-64.45,,98.24,96.67,100.00,1.52
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-3.94,,5.23,3.23,6.32,1.33
        MLU in Morphemes,0.00 **,-3.99,,5.69,3.58,6.90,1.43
        % Utterances with Verbs,0.0% **,-4.79,,80.15,53.85,96.77,16.73
        Mean Verbs per Utterance,0.00 **,-3.90,,0.91,0.54,1.16,0.23
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 *,-1.66,,209.40,84,392,126.46
        Number Different Words (NDW),0 **,-2.14,,75.00,35,122,35.09
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.59,,2.97,1.55,6.20,1.87
        Mean Turn Length (words),0.00 *,-1.14,,15.70,2.90,39.00,13.83
        % Responses to Questions,---,,,62.62,57.14,66.67,4.82
        % Responses to Intonation Prompts,---,,,100.00,100.00,100.00,0.00
        % Utts with Overlapping Speech,0.0%,-0.73,,1.80,0.00,4.84,2.48
        % Utts Interrupted Other Speaker,0.0%,-0.45,,0.42,0.00,2.08,0.93
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,55.77,27.14,79.76,24.11
        Pause Time as % of Total Time,---,,,25.35,6.90,50.78,21.81
        Maze Words as % of Total Words,0.0% **,-3.22,,14.29,7.83,20.33,4.43
        % Abandoned Utterances,0.0% *,-1.04,,1.29,0.00,2.74,1.24
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.38,,32.94,2.08,66.67,23.79
        Number of Omissions,0 *,-1.33,,6.40,1,12,4.83
        Number of Error Codes,0 *,-1.11,,13.40,0,32,12.12
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Calculations based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
Database selection criteria: Age 3;0 - 4;6,,,,,,,
