Tran2,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: Narrative Story Retell
47 Samples Matched By Age
Context: Narration (FWAY)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT
Compared to 47 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-18.82,,5.71,5.50,6.00,0.14
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-4.22,,38.47,22,60,9.11
        C&I Verbal Utts,0 **,-4.72,,35.36,22,56,7.50
        All Words Including Mazes,0 **,-3.86,,285.43,150,453,73.97
        Elapsed Time,---,,,3.56,1.72,6.23,0.96
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-23.22,,96.66,82.76,100.00,4.16
        % Intelligible Words,0.0% **,-135.05,,99.44,97.16,100.00,0.74
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-8.07,,6.84,4.93,8.85,0.85
        MLU in Morphemes,0.00 **,-7.87,,7.58,5.17,9.77,0.96
        % Utterances with Verbs,0.0% **,-19.58,,96.32,73.17,100.00,4.92
        Mean Verbs per Utterance,0.00 **,-7.78,,1.26,0.78,1.66,0.16
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-4.22,,241.72,132,368,57.23
        Number Different Words (NDW),0 **,-5.21,,90.19,55,136,17.31
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.26,,17.34,1.60,49.00,13.78
        Mean Turn Length (words),0.00 *,-1.19,,118.50,7.40,345.00,99.50
        % Responses to Questions,---,,,69.54,0.00,100.00,39.98
        % Responses to Intonation Prompts,---,,,85.71,0.00,100.00,37.80
        % Utts with Overlapping Speech,0.0%,-0.40,,0.64,0.00,7.50,1.60
        % Utts Interrupted Other Speaker,0.0%,-0.21,,0.09,0.00,2.38,0.43
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,82.83,45.17,129.32,20.19
        Pause Time as % of Total Time,---,,,17.42,0.00,59.93,13.20
        Maze Words as % of Total Words,0.0% *,-1.72,,10.45,0.46,25.49,6.08
        % Abandoned Utterances,0.0%,-0.82,,1.72,0.00,6.98,2.10
ERRORS,,,,,,,
        % Utterances with Errors,0.0% **,-2.24,,16.33,0.00,33.93,7.30
        Number of Omissions,0 *,-1.10,,1.98,0,9,1.80
        Number of Error Codes,0 *,-1.56,,4.94,0,15,3.17
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Calculations based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
Database selection criteria: Age 5;6 - 6;0,,,,,,,
