Tran2,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: Narrative Story Retell
17 Samples Matched By Age
Context: Narration (FWAY)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT
Compared to 17 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-32.87,,7.16,7.00,7.42,0.13
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-5.02,,43.24,27,61,8.61
        C&I Verbal Utts,0 **,-4.90,,41.47,26,57,8.47
        All Words Including Mazes,0 **,-4.11,,373.24,194,517,90.74
        Elapsed Time,---,,,3.80,2.73,8.18,1.24
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-40.70,,98.10,92.50,100.00,2.41
        % Intelligible Words,0.0% **,-305.76,,99.76,98.90,100.00,0.33
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-4.58,,8.18,5.89,12.70,1.79
        MLU in Morphemes,0.00 **,-4.54,,8.96,6.36,13.95,1.97
        % Utterances with Verbs,0.0% **,-44.87,,98.04,93.02,100.00,2.18
        Mean Verbs per Utterance,0.00 **,-4.76,,1.49,1.13,2.41,0.31
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-4.26,,335.24,190,470,78.75
        Number Different Words (NDW),0 **,-5.56,,113.65,74,150,20.43
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.38,,22.59,1.80,51.00,16.36
        Mean Turn Length (words),0.00 *,-1.30,,178.64,18.07,405.00,137.03
        % Responses to Questions,---,,,100.00,100.00,100.00,0.00
        % Responses to Intonation Prompts,---,,,,,,
        % Utts with Overlapping Speech,0.0%,-0.59,,0.75,0.00,3.77,1.27
        % Utts Interrupted Other Speaker,0.0%,0.00,,0.00,0.00,0.00,0.00
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,102.19,55.97,136.59,26.36
        Pause Time as % of Total Time,---,,,15.41,0.00,38.19,11.08
        Maze Words as % of Total Words,0.0% *,-1.72,,8.37,1.78,18.78,4.88
        % Abandoned Utterances,0.0%,-0.68,,1.12,0.00,4.17,1.65
ERRORS,,,,,,,
        % Utterances with Errors,0.0% **,-2.24,,12.66,0.00,21.95,5.64
        Number of Omissions,0,-0.94,,1.00,0,3,1.06
        Number of Error Codes,0 *,-1.68,,4.88,0,12,2.91
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Calculations based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
Database selection criteria: Age 7;0 - 8;0,,,,,,,
