Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: 7/19/2001,,,,,,,
Current Age: 3;0,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: NZ-AU Conversation,,,,,,,
98 database samples,,,,,,,
Context: Conversation,,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 98 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-22.89,,6.29,6,6.5,0.14
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.18,,94.98,44,187,29.85
        C&I Verbal Utts,0 **,-3.12,,88.63,43,174,28.37
        All Words Including Mazes,0 **,-2.65,,541.95,161,1396,204.71
        Elapsed Time,---,,,8.35,4.42,12.87,2.13
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-39.83,,97.53,89.29,100,2.45
        % Intelligible Words,0.0% **,-168.58,,99.44,97.33,100,0.59
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-5.88,,5.32,3.33,7.93,0.9
        MLU in Morphemes,0.00 **,-6.08,,5.93,3.69,8.81,0.98
        % Utterances with Verbs,0.0% **,-8.25,,72.65,49.61,90,8.81
        Mean Verbs per Utterance,0.00 **,-5.64,,1,0.56,1.47,0.18
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.76,,471.27,149,1158,170.66
        Number Different Words (NDW),0 **,-4.19,,172.84,87,300,41.26
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-3.17,,1.77,1.09,4.1,0.56
        Mean Turn Length (words),0.00 **,-2.18,,9.45,3.9,27.93,4.35
        % Responses to Questions,---,,,79.69,56.25,100,10.32
        % Responses to Intonation Prompts,---,,,80.64,0,100,33.37
        % Utts with Overlapping Speech,0.0% *,-1.07,,3.23,0,15.15,3.01
        % Utts Interrupted Other Speaker,0.00%,-0.59,,0.6,0,4.8,1.02
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,66.51,16.71,141.98,22.42
        Pause Time as % of Total Time,---,,,4.78,0,30.07,6.7
        Maze Words as % of Total Words,0.0% *,-1.76,,9.61,0.45,30.9,5.47
        % Abandoned Utterances,0.0% *,-1.1,,1.91,0,7.07,1.73
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.45,,5.6,0,23.21,3.88
        % Word Errors,0.0% *,-1.27,,0.88,0,3.47,0.69
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
Database selection criteria: Age 6;0 - 6;6,,,,,,,
