Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: 7/19/2001,,,,,,,
Current Age: 3;0,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: NZ-AU Expository,,,,,,,
12 database samples,,,,,,,
Context: Exposition,,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 12 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-30.45,,6.31,6.08,6.5,0.11
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.66,,21.08,12,41,7.93
        C&I Verbal Utts,0 **,-2.54,,19.83,12,38,7.8
        All Words Including Mazes,0 **,-2.19,,175.92,98,391,80.17
        Elapsed Time,---,,,2.68,1.67,3.8,0.72
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-14.04,,96,76.47,100,6.84
        % Intelligible Words,0.0% **,-75.62,,99.34,95.37,100,1.31
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-8.11,,7.28,5.69,8.69,0.9
        MLU in Morphemes,0.00 **,-8.79,,7.91,6.23,9.32,0.9
        % Utterances with Verbs,0.0% **,-8.53,,86.21,61.54,100,10.11
        Mean Verbs per Utterance,0.00 **,-4.63,,1.56,0.77,1.92,0.34
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.32,,145.67,74,286,62.75
        Number Different Words (NDW),0 **,-3.76,,67.42,47,103,17.93
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-3.55,,1.75,1.13,3,0.49
        Mean Turn Length (words),0.00 **,-3.48,,12.69,7.2,21.5,3.65
        % Responses to Questions,---,,,85.42,60,100,14.34
        % Responses to Intonation Prompts,---,,,,,,
        % Utts with Overlapping Speech,0.00%,-0.67,,4.73,0,17.65,7.05
        % Utts Interrupted Other Speaker,0.00%,-0.39,,0.67,0,5.56,1.69
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,64.46,46.54,106.15,15.88
        Pause Time as % of Total Time,---,,,7.81,0,18.92,6.55
        Maze Words as % of Total Words,0.0% **,-2.54,,12.59,6.35,21.69,4.97
        % Abandoned Utterances,0.00%,-0.29,,0.52,0,6.25,1.8
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.02,,12.8,0,41.67,12.61
        % Word Errors,0.00%,-0.74,,0.8,0,3.1,1.08
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
Database selection criteria: Age 6;0 - 6;6,,,,,,,
