Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: 7/19/2001,,,,,,,
Current Age: 3;0,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: NZ-AU Personal Narrative,,,,,,,
44 database samples,,,,,,,
Context: Narration,,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 44 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-18.52,,5.72,5.5,6,0.15
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.2,,85.27,31,216,38.79
        C&I Verbal Utts,0 **,-2.15,,77.57,22,192,36.04
        All Words Including Mazes,0 **,-2.04,,484.98,129,1111,237.48
        Elapsed Time,---,,,8.01,2.35,14.97,3.07
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-28.6,,96.8,85.71,100,3.38
        % Intelligible Words,0.0% **,-112.83,,99.26,95.96,100,0.88
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-5.07,,5.34,3.18,7.35,1.05
        MLU in Morphemes,0.00 **,-5.27,,5.82,3.64,7.96,1.11
        % Utterances with Verbs,0.0% **,-7.34,,75.99,44.44,92,10.36
        Mean Verbs per Utterance,0.00 **,-5.15,,1.01,0.64,1.45,0.2
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.05,,414.27,105,961,202.03
        Number Different Words (NDW),0 **,-2.88,,150.34,62,279,52.28
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-4.17,,1.59,1.04,2.52,0.38
        Mean Turn Length (words),0.00 **,-2.42,,8.39,2.5,17.45,3.46
        % Responses to Questions,---,,,81.06,46.84,100,14.19
        % Responses to Intonation Prompts,---,,,81.97,0,100,28.92
        % Utts with Overlapping Speech,0.00%,-0.68,,2.2,0,13.33,3.21
        % Utts Interrupted Other Speaker,0.00%,-0.49,,0.32,0,2.33,0.65
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,62.22,15.33,118.61,22.07
        Pause Time as % of Total Time,---,,,2.13,0,16.03,3.22
        Maze Words as % of Total Words,0.0% *,-1.85,,10.53,1.36,25.52,5.71
        % Abandoned Utterances,0.00%,-0.81,,1.68,0,8,2.06
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.72,,8.61,1.69,26.03,5.02
        % Word Errors,0.0% *,-1.61,,1.38,0.24,3.89,0.86
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
Database selection criteria: Age 5;6 - 6;0,,,,,,,
