Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: 7/19/2001,,,,,,,
Current Age: 3;0,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: NZ-AU Personal Narrative,,,,,,,
93 database samples,,,,,,,
Context: Narration,,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 93 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-24.16,,6.28,6,6.5,0.14
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.83,,90.31,5,227,31.86
        C&I Verbal Utts,0 **,-2.78,,84.67,5,219,30.42
        All Words Including Mazes,0 **,-2.54,,568.62,17,1453,224.21
        Elapsed Time~,---,,,8.08,0.85,16.6,2.41
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-43.15,,97.83,89.69,100,2.27
        % Intelligible Words,0.0% **,-211.93,,99.58,97.77,100,0.47
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-5.59,,5.77,3.4,8.81,1.03
        MLU in Morphemes,0.00 **,-5.68,,6.26,3.6,9.47,1.1
        % Utterances with Verbs,0.0% **,-8.04,,76.85,51.13,94.81,9.56
        Mean Verbs per Utterance,0.00 **,-5.56,,1.07,0.65,1.52,0.19
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.52,,490.54,17,1328,195
        Number Different Words (NDW),0 **,-3.56,,172.49,14,344,48.4
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-2.6,,1.94,1,5.24,0.74
        Mean Turn Length (words),0.00 *,-1.96,,11.32,3.4,34.88,5.79
        % Responses to Questions,---,,,85.79,40,100,12.18
        % Responses to Intonation Prompts,---,,,83.86,0,100,27.49
        % Utts with Overlapping Speech,0.00%,-0.98,,2.51,0,10.71,2.57
        % Utts Interrupted Other Speaker,0.00%,-0.45,,0.33,0,4.49,0.73
VERBAL FACILITY,,,,,,,
        Words per Minute~,---,,,73.1,20,133.35,22.35
        Pause Time as % of Total Time~,---,,,1.96,0,22.14,3.38
        Maze Words as % of Total Words,0.0% *,-1.85,,10.36,0,40.45,5.6
        % Abandoned Utterances,0.0% *,-1.01,,1.88,0,9.3,1.86
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.72,,7.55,0,25.84,4.4
        % Word Errors,0.0% *,-1.29,,1.18,0,6.59,0.92
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Elapsed Time and Words/Minute based on a subset of 86 database samples,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
~ Value Missing For Some Database Records,,,,,,,
Database selection criteria: Age 6;0 - 6;6,,,,,,,
