Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: 7/19/2001,,,,,,,
Current Age: 3;0,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: Monolingual Spanish Story Retell,,,,,,,
32 database samples,,,,,,,
Context: Narration (OFTM),,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 32 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-28.11,,7.76,7.5,8,0.17
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.97,,47.66,33,114,16.06
        C&I Verbal Utts,0 **,-3,,43.91,28,101,14.62
        All Words Including Mazes,0 **,-2.63,,356.31,218,958,135.38
        Elapsed Time,---,,,4.19,2.45,9.5,1.42
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-52.86,,98.84,93.75,100,1.87
        % Intelligible Words,0.0% **,-365.49,,99.83,99.07,100,0.27
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-9.58,,6.96,4.91,8.29,0.73
        MLU in Morphemes,0.00 **,-9.8,,7.13,5.17,8.53,0.73
        % Utterances with Verbs,0.0% **,-6.53,,66.2,41.03,92.86,10.14
        Mean Verbs per Utterance,0.00 **,-4.11,,1,0.6,1.71,0.24
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.96,,304.53,172,729,102.99
        Number Different Words (NDW),0 **,-5.11,,95.72,67,153,18.73
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.55,,30.12,1.94,81,19.39
        Mean Turn Length (words),0.00 *,-1.61,,202.13,13.18,471,125.24
        % Responses to Questions,---,,,,,,
        % Responses to Intonation Prompts,---,,,,,,
        % Utts with Overlapping Speech,0.00%,0,,0,0,0,0
        % Utts Interrupted Other Speaker,0.00%,0,,0,0,0,0
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,85.62,47.05,105.7,12.67
        Pause Time as % of Total Time~,---,,,3.68,1.16,9.91,2.4
        Maze Words as % of Total Words,0.0% **,-2.31,,10.46,4.23,21.18,4.54
        % Abandoned Utterances,0.0% *,-1.03,,5.16,0,23.4,5.03
ERRORS,,,,,,,
        % Utterances with Errors,0.0% **,-2.26,,22.67,5.71,55.88,10.05
        % Word Errors,0.0% **,-2.07,,3.73,0.71,9.79,1.8
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Pause data based on a subset of 12 database samples,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
~ Value Missing For Some Database Records,,,,,,,
Database selection criteria: Age 7;6 - 8;0,,,,,,,
