Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: ,,,,,,,
Current Age: 3;0,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: Play,,,,,,,
23 database samples,,,,,,,
Context: Play,,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 23 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 *,-1.66,,3.23,3,3.42,0.14
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.56,,132.7,46,288,51.93
        C&I Verbal Utts,0 **,-2.82,,116.48,39,224,41.36
        All Words Including Mazes,0 **,-2.63,,439.04,152,808,166.84
        Elapsed Time,---,,,12.78,5.6,26.08,4.25
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-22.56,,94.02,85.61,99.04,4.17
        % Intelligible Words,0.0% **,-64.09,,97.98,94.64,99.7,1.53
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-7.94,,3.23,2.64,4.16,0.41
        MLU in Morphemes,0.00 **,-7.74,,3.54,2.88,4.5,0.46
        % Utterances with Verbs,0.0% **,-6.24,,55.9,39.72,75.36,8.96
        Mean Verbs per Utterance,0.00 **,-5.21,,0.69,0.48,0.97,0.13
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.66,,377.04,120,688,141.89
        Number Different Words (NDW),0 **,-5.28,,126.26,71,176,23.93
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-5.99,,1.34,1.06,2.01,0.22
        Mean Turn Length (words),0.00 **,-4.78,,4.18,2.81,6.26,0.87
        % Responses to Questions,---,,,71.36,48.21,93.33,12.63
        % Responses to Intonation Prompts,---,,,56.31,0,100,40.98
        % Utts with Overlapping Speech,0.0% **,-2.07,,10.06,2.35,26.09,4.87
        % Utts Interrupted Other Speaker,0.00%,-0.73,,0.85,0,4.35,1.17
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,35.1,13.98,61.06,10.71
        Pause Time as % of Total Time,---,,,22.64,5.85,48.8,10.45
        Maze Words as % of Total Words,0.0% **,-2.29,,7.75,2.14,14.92,3.38
        % Abandoned Utterances,0.0% *,-1.67,,4.3,0,9.09,2.58
ERRORS,,,,,,,
        % Utterances with Errors,0.0% **,-2.23,,15.79,6.67,34.12,7.09
        % Word Errors,0.0% *,-1.98,,4.89,1.93,11.06,2.47
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
Database selection criteria: Age 3;0 - 3;6,,,,,,,
