Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: 7/19/2001,,,,,,,
Current Age: 3;0,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: Monolingual Spanish Story Retell,,,,,,,
46 database samples,,,,,,,
Context: Narration (FGTD),,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 46 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-22.21,,6.8,6.33,7,0.17
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.45,,40.5,24,90,11.74
        C&I Verbal Utts,0 **,-3.26,,37.54,21,89,11.52
        All Words Including Mazes,0 **,-2.72,,284.7,152,751,104.66
        Elapsed Time,---,,,4.11,2.15,8.53,1.37
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-36.78,,98.61,88.24,100,2.68
        % Intelligible Words,0.0% **,-206.52,,99.76,97.98,100,0.48
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-7.27,,6.76,4.74,8.68,0.93
        MLU in Morphemes,0.00 **,-7.19,,6.89,4.76,8.89,0.96
        % Utterances with Verbs,0.0% **,-5.97,,58.52,41.67,89.13,9.8
        Mean Verbs per Utterance,0.00 **,-4.68,,0.77,0.54,1.39,0.16
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.66,,255.65,117,707,96.04
        Number Different Words (NDW),0 **,-3.67,,93.93,50,215,25.6
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.64,,29.7,1.23,90,18.11
        Mean Turn Length (words),0.00 *,-1.52,,202.13,5.55,715,133.24
        % Responses to Questions,---,,,,,,
        % Responses to Intonation Prompts,---,,,,,,
        % Utts with Overlapping Speech,0.00%,0,,0,0,0,0
        % Utts Interrupted Other Speaker,0.00%,0,,0,0,0,0
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,72.59,22.65,129.49,21.41
        Pause Time as % of Total Time~,---,,,16.12,0.67,49.26,18.13
        Maze Words as % of Total Words,0.0% *,-1.12,,5.33,0,21.04,4.74
        % Abandoned Utterances,0.0% *,-1.07,,4.61,0,13.95,4.29
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.51,,13.38,0,33.33,8.87
        % Word Errors,0.0% *,-1.45,,2.39,0,6.65,1.65
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Pause data based on a subset of 10 database samples,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
~ Value Missing For Some Database Records,,,,,,,
Database selection criteria: Age 6;0 - 7;0,,,,,,,
