Tran2,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: TNL Narrative Samples
49 Samples Matched By Age
Context: Narration (All 3 Stories)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT
Compared to 49 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-19.49,,9.43,9.00,10.00,0.33
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.35,,50.76,24,138,21.55
        C&I Verbal Utts,0 **,-2.52,,47.04,24,106,18.66
        All Words Including Mazes,0 **,-2.87,,444.37,219,934,155.06
        Elapsed Time-,---,,,,,,
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-35.05,,98.90,85.29,100.00,2.82
        % Intelligible Words,0.0% **,-229.35,,99.83,97.89,100.00,0.44
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-6.38,,8.30,4.63,11.00,1.30
        MLU in Morphemes,0.00 **,-6.28,,9.09,5.07,12.25,1.45
        % Utterances with Verbs,0.0% **,-18.00,,96.50,64.42,100.00,5.36
        Mean Verbs per Utterance,0.00 **,-6.04,,1.70,0.74,2.35,0.28
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.87,,381.00,161,815,132.55
        Number Different Words (NDW),0 **,-4.52,,154.37,88,249,34.19
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.17,,26.32,1.34,110.00,22.44
        Mean Turn Length (words),0.00 *,-1.23,,209.05,5.64,824.00,170.28
        % Responses to Questions,---,,,99.26,89.66,100.00,2.76
        % Responses to Intonation Prompts,---,,,100.00,100.00,100.00,0.00
        % Utts with Overlapping Speech,0.0%,-0.34,,0.52,0.00,8.70,1.53
        % Utts Interrupted Other Speaker,0.0%,0.00,,0.00,0.00,0.00,0.00
VERBAL FACILITY,,,,,,,
        Words per Minute-,---,,,,,,
        Pause Time as % of Total Time-,---,,,,,,
        Maze Words as % of Total Words,0.0% **,-2.13,,11.43,2.78,26.42,5.36
        % Abandoned Utterances,0.0%,-0.79,,2.00,0.00,10.17,2.53
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.23,,8.06,0.00,37.68,6.56
        Number of Omissions,0,-0.39,,1.94,0,35,4.98
        Number of Error Codes,0,-0.78,,3.20,0,27,4.10
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Calculations based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
- Value Missing For All Database Records
Database selection criteria: Age 9;0 - 10;0,,,,,,,
